tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2020-01-14,1134,LANUS Nº 3,Buenos Aires,Nacional,2020,17,SEDAN 5 PUERTAS,08,CHEVROLET,EV,CRUZE 5P 1.4T PREMIER II AT,1,Privado,Física,LANÚS ESTE,BUENOS AIRES,Femenino,1976,ARGENTINA,50,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2017-08-07,1134,LANUS Nº 3,Buenos Aires,Importado,2017,05,SEDAN 5 PUERTAS,011,AUDI,115,A3 SPORTBACK 2.0 T FSI,1,Privado,Física,LANÚS ESTE,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1999-04-09,1134,LANUS Nº 3,Buenos Aires,Protocolo 21,1999,14,CAMION,092,MERCEDES BENZ,172,L-1620,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1999-09-22,1134,LANUS Nº 3,Buenos Aires,Nacional,1999,16,UNIDAD TRACTORA,51,SCANIA,83,P 94 GA 4X2 NZ 260,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-05-28,1134,LANUS Nº 3,Buenos Aires,Nacional,2008,29,TRACTOR DE CARRETERA,67,IVECO,22,170E22T,1,Privado,Física,LANUS ESTE,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1999-09-07,1134,LANUS Nº 3,Buenos Aires,Nacional,1999,,UNIDAD TRACTORA,51,SCANIA,83,P 94 GA 4X2 NZ 260,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2005-09-26,1134,LANUS Nº 3,Buenos Aires,Nacional,2005,29,TRACTOR DE CARRETERA,67,IVECO,36,170E21T,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2014-08-21,1134,LANUS Nº 3,Buenos Aires,Nacional,2014,31,SEMIRREMOLQUE,94,GRASSANI,02,SG3-30TT,1,Privado,Física,LANUS  ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2013-07-26,1134,LANUS Nº 3,Buenos Aires,Nacional,2013,,SEMIRREMOLQUE,94,GRASSANI,99,SG3-30TT,1,Privado,Física,LANUS,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1998-10-28,1134,LANUS Nº 3,Buenos Aires,Nacional,1998,31,SEMIRREMOLQUE,15,GOMATRO,94,SRPTLVE 3,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2015-06-19,1134,LANUS Nº 3,Buenos Aires,Nacional,2015,31,SEMIRREMOLQUE,94,GRASSANI,02,SG3-30TT,1,Privado,Física,LANUS ESTE,BUENOS AIRES,Masculino,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,1999-04-20,1134,LANUS Nº 3,Buenos Aires,Nacional,1999,43,SEMIRREMOLQUE,09,SALTO,05,SRFA,1,Privado,Física,LANUS ESTE,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2000-02-07,1135,LANUS Nº 4,Buenos Aires,Nacional,2000,12,SEDAN 4 PTAS,53,VOLKSWAGEN,06,POLO CLASSIC 1.6 MI,1,Privado,Física,LANUS,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
